trend,rsi,uosc,adx,cci,ema12,macd
0,57.28843894756961,45.391260492916594,17.073029825769442,90.04229142637448,0.3856739790292794,0.28897855218970986
1,56.89676669121091,51.6456249304346,16.154081794196195,73.00488167250346,0.31342934098185193,0.30431092563632534
0,56.30769246883799,50.53731505196256,15.696136665633883,73.93056959892147,0.23735160957277063,0.31098078089501485
1,54.420196543530494,68.99015777857025,15.28137648833167,64.1204094257916,0.1596064143490169,0.3115059976072826
0,54.123374511840815,74.00445550710185,14.934682822757068,61.40696909927682,0.08172991494719624,0.3470964529896238
0,56.23157010670564,54.22294037517192,14.840780452981871,86.31864808165052,-0.005044198300209732,0.38384254106399573
0,55.159042710167896,60.62814242139345,14.68404868120975,83.6667342936363,-0.10100483356620868,0.34731215739621224
1,54.73195254488752,60.22441163538418,14.67043166122909,87.50124532115052,-0.18783287291526174,0.30319628059589177
1,54.846086989557584,55.879935484691345,14.695603776435394,95.52754685498049,-0.2636319430642347,0.22749437547521884
1,55.059318770562804,53.42022908736719,14.729485733991174,114.16573645883167,-0.3205055369330394,0.0874505437102433
0,45.009044750220674,47.27634242420134,14.715346111509291,-66.66666666666666,-0.34236817286060023,-0.14678062554243493
1,45.009044750220674,47.35236621119956,15.55258617612991,-77.77777777777776,-0.3056730164749915,-0.09086607438132271
1,55.33703485377283,52.94866669126678,16.454229322644423,87.91696154753481,-0.2829564978796608,0.01038891143179832
1,43.2437236623842,36.13866941535182,16.34817832473837,-93.33333333333331,-0.2855537257376104,-0.2239437938260409
1,43.2437236623842,39.007774078652155,17.30563189630332,-116.66666666666667,-0.2295677772811002,-0.17580034753850485
0,49.90105174312364,57.43250090420041,18.336735742604038,1.8180189862081253,-0.185617690396474,-0.08094719786153629
1,49.99677278162816,43.727795566094166,18.950922939053893,9.019698725376605,-0.16538089093108993,-0.14821601337727713
0,42.20766189037903,38.31133355134874,19.62092240409621,-93.3333333333333,-0.12832688758677063,-0.24379310769047585
1,42.20766189037903,38.85340533469705,20.877754183815817,-116.66666666666663,-0.06737861066415164,-0.14289820260934083
0,51.02311031326279,49.61249380117568,22.231265331206163,22.64644405317188,-0.03165406001181644,0.031006570870730298
1,50.36376271774036,46.572786653290436,22.70119072714964,16.861795182344277,-0.03940570272949902,0.009021787141281282
0,50.27051380578418,54.448889606772525,23.320357899867968,19.580256768442766,-0.04166114951481934,-0.005871675239181216
0,41.04949789231861,46.69088485270841,23.981833623521005,-116.6666666666667,-0.040193230705024036,-0.02548190611506293
0,56.14217876251759,52.78511596590928,25.634113978600617,72.4152415241524,-0.0338227541762583,0.21983761376374983
1,55.232415839317085,48.35957848642631,26.017281876981432,84.18518179878694,-0.08878215761719577,0.16570294193454227
0,53.62452188521798,48.448948991505155,25.99730935036752,58.40938722294656,-0.13020789310083133,0.09222066448330354
1,52.926770778671894,56.74975452078341,26.202242673927397,49.22238855622087,-0.15326305922165723,0.014982144692599453
1,53.037919684259386,48.80223380990861,26.54467316534824,51.990493166963766,-0.1570085953948071,-0.08690853766818035
1,40.06458561977285,34.411698874266314,26.9992561299309,-155.55555555555563,-0.13528146097776203,-0.24297255998761638
0,40.06458561977285,35.7627092135161,29.018643978814314,-232.50780002089974,-0.07453832098085794,-0.1306219966022572
1,53.70105093509538,51.9135850186972,31.193369354534916,83.04398148148138,-0.04188282183029364,0.060637163001748665
0,51.317273507649034,48.46925962684324,31.4966005426816,39.817511162881026,-0.05704211258073081,-0.00013435403629299264
0,51.1047613545084,50.07420133865735,31.971797506767892,27.97573031602133,-0.05700852407165756,-0.04025160679004959
0,35.73576308191075,31.90383876445337,32.59398157921787,-359.06915854098963,-0.046945622374145166,-0.09497023803824241
1,51.398800877440586,57.47134470227285,34.751064331853414,41.77362047712285,-0.023203062864584567,0.12671812015896383
0,52.937755229687376,58.36770306836671,34.44697763651541,82.07756333369683,-0.05488259290432553,0.1565510752383326
1,52.937755229687376,54.66191124110207,34.10898181690538,82.21106517030913,-0.09402036171390868,0.16945312862818182
0,52.93775522968739,56.39772863399356,33.7449863188638,107.18823136074884,-0.13638364387095414,0.17723289376710472
